OLD_URL,CURRENT_STATUS,INDEXABLE,CURRENT_TITLE,CURRENT_H1,CURRENT_CANONICAL,CURRENT_TOPIC,ORGANIC_VALUE,BACKLINK_VALUE,NEW_URL,ACTION,REDIRECT_TYPE,NEW_PRIMARY_KEYWORD,NOTES
/servicios/consultoria-transformacion-digital,200,YES,Consultoría en Transformación Digital en Punta Arenas,Estrategia de Potencia.,https://agenciapatagoniacoach.cl/servicios/consultoria-transformacion-digital,Consultoría y Auditoría Tecnológica,MEDIUM,MEDIUM,/servicios/consultoria-transformacion-digital,UPDATE_CONTENT,,consultoria en inteligencia artificial y arquitectura de procesos magallanes,"Subpilar de IA / Consultoría. Preservar URL histórica (rastreada 2026-07-17). Reorientar hacia factibilidad de IA, procesos, costos y roadmap técnico."
/servicios/academia,200,YES,Academia PatagoniaCoach | Formación Práctica Digital,Formación Práctica.,https://agenciapatagoniacoach.cl/servicios/academia,Academia y Capacitación IA,MEDIUM,MEDIUM,/servicios/academia,UPDATE_CONTENT,,cursos y capacitacion en inteligencia artificial para empresas magallanes,"Unidad de Academia. Mantener URL canónica indexada. Reorientar a formación corporativa en IA, ChatGPT en el trabajo, automatizaciones y agentes."
/zonas/punta-arenas,200,YES,Servicios de Marketing Digital y Diseño Web en Punta Arenas,Liderando el futuro digital en Punta Arenas,https://agenciapatagoniacoach.cl/zonas/punta-arenas,Zona Punta Arenas,HIGH,HIGH,/zonas/punta-arenas,UPDATE_CONTENT,,desarrollo web aplicaciones y tecnologia punta arenas,"Preservar URL territorial. Reemplazar propuesta de agencia de marketing por Desarrollo, SEO e IA adaptados a empresas de Punta Arenas."
/zonas/puerto-natales,200,YES,Marketing Digital y Diseño de Páginas Web en Puerto Natales,Destino Global.,https://agenciapatagoniacoach.cl/zonas/puerto-natales,Zona Puerto Natales,HIGH,HIGH,/zonas/puerto-natales,UPDATE_CONTENT,,desarrollo web y tecnologia para turismo puerto natales,"Preservar URL territorial. Enfoque hiperlocal en hotelería, operadores de expedición, reservas y sistemas B2B para Natales."
/zonas/magallanes,200,YES,Agencia SEO y Ecosistemas Digitales en la Región de Magallanes,Magallanes Global.,https://agenciapatagoniacoach.cl/zonas/magallanes,Zona Región de Magallanes,HIGH,HIGH,/zonas/magallanes,UPDATE_CONTENT,,desarrollo tecnologico y seo tecnico region de magallanes,"Preservar URL regional. Enfoque en industria, energía, logística y transformación empresarial a escala regional."
/zonas/tierra-del-fuego,200,YES,Transformación Digital y Conectividad SEO en Tierra del Fuego,La Frontera del Valor.,https://agenciapatagoniacoach.cl/zonas/tierra-del-fuego,Zona Tierra del Fuego,MEDIUM,MEDIUM,/zonas/tierra-del-fuego,UPDATE_CONTENT,,desarrollo digital y sistemas offline tierra del fuego porvenir,"Preservar URL territorial. Enfoque en desafíos de conectividad, logística insular y sistemas ligeros/offline."
/servicios/comunicacion-digital,200,YES,Comunicación y Manejo de Redes Sociales en Magallanes,"Servicios de Marketing Digital, Comunicación Estratégica y Redes Sociales en Punta Arenas",https://agenciapatagoniacoach.cl/servicios/comunicacion-digital,Redes Sociales y Marketing Generalista,MEDIUM,HIGH,/servicios/desarrollo-web,REVIEW,301,,SEARCH CONSOLE DATA REQUIRED. Ya recibe redirects de 4 URLs legacy. No eliminar sin chequear clics reales. Evaluar transformar en caso de estudio B2B o 301 a /servicios/desarrollo-web.
/servicios/marketing-digital-punta-arenas,200,YES,Marketing Digital en Punta Arenas | Estrategias B2B Locales,Marketing digital de alto impacto en Punta Arenas,https://agenciapatagoniacoach.cl/servicios/marketing-digital-punta-arenas,Marketing Digital Local,MEDIUM,LOW,/servicios/desarrollo-web,REVIEW,301,,SEARCH CONSOLE DATA REQUIRED. Servicio fuera de foco comercial. Evaluar 301 semántico hacia /servicios/desarrollo-web o /servicios/seo-local-magallanes.
/servicios/manejo-redes-sociales-punta-arenas,200,YES,Manejo de Redes Sociales en Punta Arenas | Gestión Profesional,Manejo profesional de redes sociales en Punta Arenas,https://agenciapatagoniacoach.cl/servicios/manejo-redes-sociales-punta-arenas,Manejo Redes Sociales,MEDIUM,LOW,/servicios/desarrollo-web,REVIEW,301,,SEARCH CONSOLE DATA REQUIRED. Servicio descontinuado de la oferta activa. Evaluar 301 semántico.
/servicios/videos-redes-sociales-punta-arenas,200,YES,Videos para Redes Sociales en Punta Arenas | Reels y TikTok,Producción de videos para redes sociales en Punta Arenas,https://agenciapatagoniacoach.cl/servicios/videos-redes-sociales-punta-arenas,Videos y Audiovisual,LOW,LOW,/servicios/desarrollo-web,REVIEW,301,,SEARCH CONSOLE DATA REQUIRED. Recibe redirect de /servicios/videos-corporativos. Evaluar 301 semántico.
/servicios/creacion-reels-punta-arenas,200,YES,Creación de Reels en Punta Arenas | Contenido Viral y B2B,Creación de reels de alto impacto en Punta Arenas,https://agenciapatagoniacoach.cl/servicios/creacion-reels-punta-arenas,Creación de Reels,LOW,LOW,/servicios/desarrollo-web,REVIEW,301,,SEARCH CONSOLE DATA REQUIRED. Servicio de reels independiente a retirar. Evaluar 301 semántico.
/servicios/fotografia-para-redes-sociales,200,YES,Fotografía para Redes Sociales en Punta Arenas y Magallanes,Fotografía profesional para redes sociales en Punta Arenas,https://agenciapatagoniacoach.cl/servicios/fotografia-para-redes-sociales,Fotografía RRSS,LOW,LOW,/servicios/desarrollo-web,REVIEW,301,,SEARCH CONSOLE DATA REQUIRED. Recibe redirects de 3 URLs legacy. Evaluar 301 semántico.
/servicios/tours-virtuales-360,200,YES,Tours Virtuales 360º para Turismo e Industria en Patagonia,Inmersión Absoluta.,https://agenciapatagoniacoach.cl/servicios/tours-virtuales-360,Tours 360 y VR,LOW,LOW,/servicios/tours-virtuales-360,REVIEW,,tours virtuales 360 patagonia turismo hoteleria,Recibe redirects de 2 URLs. Muy relevante para turismo regional. Decidir si se mantiene como activo complementario en portafolio o se consolida.
/home,301,NO,,,https://agenciapatagoniacoach.cl,Alias Home,NONE,LOW,/,KEEP,301,,Redirección 301 activa preservada en .htaccess y netlify.toml.
/ia,301,NO,,,https://agenciapatagoniacoach.cl/servicios/automatizacion-con-ia,Alias IA,NONE,MEDIUM,/servicios/automatizacion-con-ia,KEEP,301,,Redirección 301 activa preservada en .htaccess y netlify.toml.
/marketing,301,NO,,,https://agenciapatagoniacoach.cl/servicios/comunicacion-digital,Alias Marketing,NONE,MEDIUM,/servicios/comunicacion-digital,KEEP,301,,Redirección 301 activa preservada. Crawleada por Google el 2026-08-05.
/consultoria,301,NO,,,https://agenciapatagoniacoach.cl/servicios/consultoria-transformacion-digital,Alias Consultoría,NONE,MEDIUM,/servicios/consultoria-transformacion-digital,KEEP,301,,Redirección 301 activa preservada. Crawleada por Google el 2026-07-17.
/academia,301,NO,,,https://agenciapatagoniacoach.cl/servicios/academia,Alias Academia,NONE,MEDIUM,/servicios/academia,KEEP,301,,Redirección 301 activa preservada en .htaccess y netlify.toml.
/proyectos,NEW,YES,,,https://agenciapatagoniacoach.cl/proyectos,Portafolio y Casos de Estudio,HIGH,HIGH,/proyectos,KEEP,,casos de estudio y proyectos desarrollo web y software patagonia,Página NUEVA para casos de estudio reales: Problema -> Solución -> Tecnología -> Implementación -> Resultado.
/nosotros,NEW,YES,,,https://agenciapatagoniacoach.cl/nosotros,Sobre PatagoniaCoach,MEDIUM,MEDIUM,/nosotros,KEEP,,agencia de tecnologia desarrollo y consultoria patagoniacoach,"Página NUEVA institucional: Filosofía técnica, equipo, metodología y presencia en la Patagonia."
/contacto,NEW,YES,,,https://agenciapatagoniacoach.cl/contacto,Contacto Comercial y Diagnóstico,HIGH,HIGH,/contacto,KEEP,,contacto cotizacion proyectos tecnologicos magallanes,"Página NUEVA dedicada para cotización de proyectos, agendamiento de reuniones técnicas y diagnóstico."
